file,places,transitions,bdd_states,bdd_time_ms,bdd_memory_mb,bfs_states,bfs_time_ms,bfs_memory_mb,dfs_states,dfs_time_ms,dfs_memory_mb
input1.pnml,4,2,3,5.6529000285081565,0.05361175537109375,3,0.4199999966658652,0.0034503936767578125,3,0.24429999757558107,0.0025386810302734375
input2.pnml,5,4,3,3.059100010432303,0.07320213317871094,3,0.4626999725587666,0.003444671630859375,3,0.2606000052765012,0.0027456283569335938
input3.pnml,4,2,2,1.4374000020325184,0.03689098358154297,2,0.31890004174783826,0.0032444000244140625,2,0.15619996702298522,0.0024929046630859375
input4.pnml,23,23,3072,125.25300000561401,3.163331985473633,3072,2422.789099975489,0.8143692016601562,3072,994.8854999965988,0.8248605728149414
input5.pnml,8,6,6,8.536599983926862,0.24641799926757812,6,1.0291999788023531,0.0043964385986328125,6,0.47909998102113605,0.0037174224853515625
input6.pnml,8,12,36,27.395300043281168,0.7468490600585938,36,9.249099995940924,0.009675979614257812,36,4.612400021869689,0.008447647094726562
input7.pnml,15,20,1536,84.46430001640692,2.1181182861328125,1536,945.7227999810129,0.3772125244140625,1536,447.7243999717757,0.3742990493774414
input8.pnml,12,12,4096,41.46899998886511,0.8475456237792969,4096,1996.3778000092134,0.6990604400634766,4096,839.6299000014551,0.6902446746826172
input9.pnml,8,10,20,17.44739996502176,0.3764352798461914,20,7.262300001457334,0.0074634552001953125,20,3.4580000210553408,0.0067386627197265625
input10.pnml,8,8,8,10.919000022113323,0.26406097412109375,8,1.1129999766126275,0.0045032501220703125,8,0.673700007610023,0.0037479400634765625
input11.pnml,10,6,16,10.662199987564236,0.3317394256591797,16,4.705400031525642,0.0058803558349609375,16,1.6947999829426408,0.005123138427734375
input12.pnml,12,16,256,35.08300002431497,0.8052787780761719,256,143.2702000020072,0.04697608947753906,256,63.34589998004958,0.04574394226074219
